Address,beforeDOTA,afterDOTA,status
1HBw3uYqzmFXnxjrKtrAHURfJSDG5rU4j3KFR5FgchBiGmR,0.0,1.02,New
12gmSc1vsBP9R7HHJ7SCLH1vNf6VX9idPS34hVU2Ebf8f5xr,0.0,1.01,New
14run12UGeiHbKUqyjWpimrcZVbHTqRmgRQFsNnb2gCBbKL4,0.0,70.21,New
14p9Q8XRbHDDfQeRoTUiNirUfCNfobUpV31R9R1YKzdDRoh4,12.28,17.31,Old
13g9eihumxbGCzsJ9KjwstbcsTgYiCNxznLVL5fvkjhqwU1D,0.0,261.78,New
14MoEZEfDFT288j32zc2mFtYfjAZ4GHC9FGufNG77Xo35U7W,0.0,52.07,New
15yeTtooRJkDHmC893x4g2dJP24UjFcE3LUDUkbr8NBQp335,0.0,165.68,New
1HoogQbGJgwTvb4remDCP3r4aqavs9kc7AvoNKTFQUWiMLj,19.85,1.0,Old
13T28S52mt9aJeoQpzHHxq1LEcwDaK9iTMERJsdK2Tqvftfo,100.0,82.82,Old
16cwaSW7MeQ9LWyMS5DKzDVifFFWX42n4fn7TTcd6YKer5hZ,100.98,25.04,Old
1jTTwqGQBn3MZ8XXAQsoW1ojMBWAvAoLTPwnZHv9uDdi17Z,0.0,260.38,New
1395vxBvaHyA6so3EBKvULbeBF7btPr5DdGXrJNSzbpDHkfn,0.0,1.0,New
16ZoEQ5ehQTX4Nmy83VUrSwJRzX1MSA9ACd57CSro8kmJpUx,0.0,102.7,New
16LmQ2SA61meahghcVtyd5MfLhH9mgGxJSukH5AmeLkSP7DS,0.0,108.89,New
1xupJ44ziarAwQDDPUXmJb4TNChZFt5iUQ3NwCiNFNrtPXH,0.0,109.92,New
14wTVSstPVVwZMucJozkt5zZLxxY12BmQ96AZji6dGvqBUy4,0.0,110.0,New
1LV6nZp9t3v5rUTiPYW3mcGmdqmHwiVCTpYpt6fYZq1SnUb,25.0,0.0,Old
12sUHwynssggdqS65fupbnrAKNE8aww47mUvyNCgTbSRqffn,0.0,118.37,New
13TKL2wUcg4hWMNbMwymXaU2X6WYoUzGQfu9SGAnjqt5KxG8,0.0,119.32,New
1EqZgfbqzK1kohXH3pAscg1rpFGZweVkWkTyTMPVqW9HxpB,0.0,112.66,New
16HvBUXsZkApoQ3Fvfnri6J7rCoSnN3NKnAXn2RQckvhGkyB,0.0,120.19,New
1EV3DXQgg5XNcPDD49MrwfkLco6M5kXCJmvey3F3cg387Ng,0.0,120.57,New
14YmUeTCTWEBpMHRQzNrWrAcMHfbhkwizRizEHJPgdbSWb3v,0.0,122.78,New
12BQj1YQi3VQnW56xEiFbbDLdX19Pbn32zDTX222iRRnpN37,0.0,122.82,New
15d5UzwKNFmzRhaZowjdjXA1BGFxqgwxrncHJqTesU88ZQqQ,0.0,1.01,New
14uLB1HERE7vdAX28ZQNDiLGNXFb2WfcpbfSNJMwk5jGKjpk,5.59,1.01,Old
1532strEovcE1zjhFSjsLU8nbuvxWpsVutUNUjkdyeaBhQhJ,29.08,18.69,Old
13Tm9ebZP3votDNnLRKneJVzVVVKPouMe97xNr4NPKyHhado,0.0,120.96,New
13wYPpqSqRhr5pwTzw54X1V4UAdbLa4mKECuEndZqcNy6jV6,0.0,120.82,New
13iygckKGhfii6sb7hfUJjmaMA5BFaNiAYwFH7qFu7BTc5Rr,0.0,125.65,New
12nYznnx5dRZMKLr99bft4YctfBv6VAHc14hTDdsHedb2LSk,100.0,82.82,Old
14VYVzRup3VAMS32XzAxVorb2EfxcLf17zsaGz4G3ya5fhq3,0.0,131.97,New
11gWKN77zZfW5j8p3hQeKce9UvhzPVByYGigixNTCanSa1o,0.0,132.25,New
16ZrWRBKQq3sS9preQ2CJDjK4qyLi33pBACuyof4XUX7EeBG,0.0,132.92,New
